state region senator party estrada abort1 energy1 daycare employ1 tax energy2 rxplan1 aids employ2 govloan fcc_rule iraq1 iraq2 abort2 sourcing vot_tech pickerin energy3 rxplan2 libscore
VT 1 Leahy 1 1 1 1 1 1 1 1 0 1 1 1 . 1 1 0 1 1 1 1 1 85
VA 3 AllenG 2 0 0 0 0 0 0 . 0 0 0 0 0 0 0 0 0 1 0 0 0 5
VA 3 Warner 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 10
WA 4 Cantwell 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 90
WA 4 Murray 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 90
WV 3 Byrd 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 95
WV 3 Rockefeller 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 100
WI 2 Feingold 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
WI 2 Kohl 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 95
WY 4 Enzi 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 5
WY 4 ThomasC 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
