"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Wrekin, The","45968","Unaltered","Con","21922","Con","23427","2"
"Wrexham","32976","Unaltered","Lab","12161","Lab","17451","5"
"Wycombe","48151","Unaltered","Con","23423","Con","25546","4"
"Wyre & Preston North","51308","Unaltered","Con","26877","Con","26877","1"
"Wyre Forest","50899","Unaltered","Con","18793","Con","24418","5"
"Wythenshawe & Sale East","40751","Altered","Lab","17987","Con","20243","5"
"Yeovil","57160","Unaltered","LD","31843","LD","31843","1"
"Ynys Mon","34444","Unaltered","Lab","11490","Lab","18890","6"
"York Central","46483","Altered","Lab","18573","Con","26206","6"
"York Outer","53300","Altered","Con","22912","LD","28332","4"
"Yorkshire East","51254","Unaltered","Con","24328","Con","26193","4"
