id,artist_id,latitude,longitude,location,name,release,title,duration,tempo,year,hotttnesss,similar_artists_count,artist_terms_count,end_of_fade_in,start_of_fade_out,loudness,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,danceability,artist_familiarity,artist_hotttnesss,song_hotttnesss
67,ARF2EHS1187B994F4E,36.16778,-86.77836,Nashville. Tennessee,Kings Of Leon,Holy Roller Novocaine,Wicker Chair,187.92444,116.823,2003,0.685940227,100,23,0.328,180.344,-5.907,0,0.612,1,0.735,4,0.347,0,0.845768866,0.788805935,0.685940227
68,ARZKRD01187FB45FD2,0,0,,Edith Lefel,Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),An ti chans',276.50567,101.972,0,0,100,18,0.299,261.956,-4.638,0,0.29,1,0.389,4,1,0,0.407455644,0.30004649,0
69,ARK4H5K1187B992F74,0,0,,Taras,I Will Love Again,I Will Love Again (JJ's Club Radio),200.25424,127.97,0,0,100,14,0,194.844,-5.884,11,0.056,0,0.283,4,0,0,0.460171324,0.189314878,0
70,AR06EB01187FB40150,0,0,Berkeley. CA,NOFX,White Trash ......,Stickin In My Eye,144.50893,152.622,1992,0.671236027,100,19,0.237,140.057,-7.787,4,0.093,0,0.423,4,0.358,0,0.778816717,0.554291489,0.671236027
71,ARKPDBH1242077DEB1,0,0,,Murskahumppa,Murskapunkkia,Ota kiinni,285.17832,110.787,0,0,100,13,0,275.853,-8.488,7,0.379,1,0.401,3,1,0,0.435889847,0.26803784,0
72,ARBJSO81187B9BA09B,0,0,,Soda Stereo,Canción Animal,Entre Caníbales,246.69995,112.903,1990,0.62616576,100,10,0.322,224.049,-9.603,7,0.161,1,0.205,4,1,0,0.711165787,0.466826993,0.62616576
73,ARRC2JF1187B9B6A93,-24.9162,133.39311,AUSTRALIA,Bruce Rowland,The Man from Snowy River,Rosemary Recalls,84.03546,115.642,1985,0,100,10,0.328,75.79,-26.266,7,0.469,1,0.591,4,0.44,0,0.443162398,0.30045446,0
74,ARNIFX51187FB418EA,0,0,,Xcultures,One World One People,Sudanese Dance,273.52771,125.013,2000,0.199238262,100,34,2.177,268.893,-6.305,1,0.652,1,0.694,4,1,0,0.400433513,0.266275286,0.199238262
75,ARCCRTI11F4C845308,0,0,,White Heart,Tales Of Wonder,Where The Thunder Roars (Tales Of Wonder Album Version),298.84036,113.277,0,0.265861049,100,12,19.093,289.46,-9.998,5,0.596,1,0.567,4,0.872,0,0.477364752,0.337507289,0.265861049
76,ARNVH8S1187FB52F86,18.11526,-77.27348,Jamaica. West Indies,Heavy D / McGruff,Waterbed Hev,Wanna Be A Player,161.38404,96.979,1997,0.237733942,100,40,0.165,161.384,-9.161,5,0.665,0,0.606,4,0.895,0,0.617870116,0.36366811,0.237733942
77,ARNLO5S1187B9B80CC,0,0,Pasadena. CA,Van Halen,The Best Of Both Worlds,Panama (Remastered Album Version),209.29261,140.995,0,0.82448213,100,22,0,206.623,-4.865,8,0.455,1,0.48,1,0.41,0,0.744641246,0.579988982,0.82448213
78,ARTDQRC1187FB4EFD4,0,0,Los Angeles. CA,Black Eyed Peas,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Let's Get It Started,229.61587,105.206,2004,0.624425493,100,25,0,213.664,-4.882,11,0.205,0,0.332,4,1,0,0.845601887,1.005941966,0.624425493
79,ARK9TRQ1187B99C095,41.50471,-81.69074,Cleveland. OH,Nine Inch Nails,Things Falling Apart,Metal,426.89261,63.017,2000,0.635536649,100,29,0.286,399.9,-12.951,0,0.05,0,0.395,4,0.378,0,0.905776889,0.598458501,0.635536649
80,ARODBRG1187FB3FD99,0,0,,Nick Cave & The Bad Seeds,Your Funeral... My Trial (2009 Digital Remaster),She Fell Away (2009 Digital Remaster),269.26975,144.603,0,0,100,27,3.889,262.798,-11.751,9,0.052,0,0.142,4,0,0,0.694021648,0.479407676,0
81,ARMBYRO1187FB57419,0,0,,Nadine Renee,Oasis of Love,Next Time,249.41669,167.92,0,0.198785349,100,28,0.647,238.434,-6.693,2,0.883,1,0.728,4,0.75,0,0.408389022,0.139247394,0.198785349
82,ARWY7I71187FB36C3D,40.71455,-74.00712,New York. NY,Lesley Gore,60's Triple set,It's My Party,136.48934,129.122,1963,0,100,31,0.229,130.026,-9.091,9,0.386,1,0.632,1,0,0,0.606925359,0.389100776,0
83,AR6Y22S1187B99906F,0,0,,Smartbomb,Yeah.  Well_ Anyway....,Complicate It,233.27302,132.022,2001,0,100,25,0.386,231.178,-2.658,0,0.53,1,0.501,4,0.782,0,0.562463784,0.322485106,0
84,ARI5P4N1187FB3F44D,0,0,Minnesota,Suburbs,Un Titre de Toune,Monde De Fou,187.24526,183.92,2005,0.249065795,100,23,0.107,178.625,-4.42,1,0.842,1,0.721,1,0.063,0,0.481004583,0.335651839,0.249065795
85,ARYPWUK1187B98ACED,64.55653,12.66538,Norway,Emperor,Live Inferno,Opus a Satana (Part 2),72.61995,89.867,0,0,100,47,0,68.365,-11.051,9,0,0,0,4,0.476,0,0.742963152,0.453391186,0
86,ARW63KF1187B98AC48,46.71067,1.71819,FR,Julien Clerc,Vendredi 13 - 1981,This Melody (Live),272.63955,119.896,0,0,100,44,2.775,272.64,-9.97,2,0.633,1,0.605,5,0.921,0,0.58547954,0.364384924,0
87,AR8H87D1187FB3A841,34.03142,-93.50243,Delight. AR,Glen Campbell,Unconditional Love,I'm Gone This Time,142.75873,137.29,0,0,100,49,0.218,135.546,-11.335,1,0.62,0,0.814,4,0,0,0.67159627,0.481024239,0
88,ARLWR721187B9A03C9,35.82213,-88.91599,Humboldt. TN,T.G. Sheppard,The Very Best Of,You Feel Good All Over,194.11546,82.343,2002,0.382723281,100,13,0.089,182.729,-15.581,5,1,1,0.886,1,0.387,0,0.449323615,0.343281882,0.382723281
89,ARF4V431187FB3AA41,27.94653,-82.45927,Tampa. FL,Slim Whitman,Country Lovers. Vol. 3,Indian Love Call,195.91791,91.487,1990,0,100,42,0.165,192.087,-11.98,3,0.883,1,0.735,4,0,0,0.51644378,0.386669092,0
90,ARBGWMW1187B9AEA3E,0,0,CA,Savage Garden,Affirmation,You Can Still Be Free,118.33424,84.69,1999,0,100,12,0,118.334,-11.215,9,0,0,0,5,0.678,0,0.728209707,0.538070295,0
91,AR6G4V01187B9AD086,0,0,,Queens Of The Stone Age,Lullabies To Paralyze,I Never Came,288.41751,115.606,2005,0.725121284,100,24,0.113,279.179,-8.165,2,0.08,1,0.665,4,0,0,0.798645179,0.552413346,0.725121284
92,ARVQ4QM1187B98AD95,33.52029,-86.8115,Birmingham. AL,Hank Penny & The Lincoln Penny Orchestra,It's War Again,Dixie,123.21914,126.523,0,0,100,44,1.001,118.079,-12.69,7,0.278,0,0.482,1,0,0,0.445854631,0.347598889,0
93,AR9AM2N1187B9AD2F1,53.4796,-2.24881,Manchester. England,Inspiral Carpets,The Singles,Commercial Reign,283.76771,113.677,1990,0.665172241,100,46,0,271.83,-8.7,2,0.823,1,0.69,4,1,0,0.605109702,0.398547535,0.665172241
94,AR9XEVF1187B99D017,0,0,,Borialis,What You Thought You Heard,Hourglass,239.3073,86.938,0,0.554654767,100,22,0.182,220.264,-5.758,2,0.569,1,0.601,4,0.222,0,0.454043995,0.421415103,0.554654767
95,ARCFOZ71187FB43A0D,0,0,,The Dirty Skirts,Daddy Don't Disco,Wake,206.75873,141.936,0,0.304169503,100,20,0.096,193.115,-4.907,0,0.613,1,0.656,4,0.634,0,0.543516131,0.404182207,0.304169503
96,ARHFEBO11F50C4825A,0,0,,Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,Caricia Y Herida,134.81751,106.049,0,0,100,8,0,130.723,-8.133,11,0.847,1,0.646,1,0,0,0.42054585,0.313569343,0
97,AR107SB1187B9A79F9,0,0,"Bézu. comme Superdupont. ne connait qu&#039,un pays : la France !",Bézu,Le top du père Nöel,Le tortillard,285.64853,126.88,0,0,100,10,0.397,274.727,-9.093,8,0.508,1,0.343,4,0,0,0.373850623,0.148985481,0
98,ARXWAQQ1187B9AE954,0,0,Newark. NJ,Redman,Malpractice,WKYA (drop),124.18567,85.008,2001,0.57010593,100,12,0,121.005,-10.296,1,0.074,0,0.492,5,1,0,0.743129776,0.493566843,0.57010593
99,ARL6XZC1187FB3936E,0,0,,Solistiyhtye Suomi,20 Suosikkia / Rilluttele yö,Teräslintu,134.08608,133.699,0,0,100,11,4.441,130.38,-12.839,4,0.718,0,0.674,1,0,0,0.13818761,0.31781096,0
100,ARSDSMG1187B98CB59,40.71455,-74.00712,New York. NY,Eddie Cantor,The Fabulous Eddie Cantor,Now's The Time To Fall In Love,155.61098,118.975,0,0,100,27,0.154,150.75,-13.71,11,0.599,1,0.517,1,0.003,0,0.416141022,0.331090126,0
101,AR3WMW01187B9921F7,0,0,,Schizoid,Grim Prospects Remixes - Grim Prospects Will Never End,Grim Prospects (Gross Prospects - Bad Trip Remix),275.40853,102.408,0,0,100,37,0,272.556,-2.119,9,0.376,1,0.334,4,0.395,0,0.495559652,0.349192218,0
102,AR3C3C01187B98E800,56.153,10.20452,Aarhus. Denmark,Kai Winding,The Incredible Kai Winding Trombones,Mangos,223.4771,112.006,1961,0,100,22,0.291,220.026,-14.438,0,0,1,0.138,4,0.844,0,0.430538907,0.316354001,0
103,ARDD9UN1187B98D3A7,31.84666,-91.657,Sicily Island. LA,Sonny Simmons,Staying on the Watch,A Distant Voice,443.24526,45.527,0,0.270775999,100,16,0.23,430.736,-13.002,1,0,1,0.051,4,0,0,0.428375417,0.317833879,0.270775999
104,ARJGNV61187B98F3B5,0,0,Tallahassee. FL,Mira,Openbare Weg,Openbare Weg,177.81506,85.621,2006,0,100,48,0.554,167.48,-12.004,4,0.695,1,0.673,4,0.612,0,0.545110951,0.345751247,0
105,ARSVI4L1187B996181,0,0,,Citizen Kaned,Tip World Singles 2000,President Johnson,385.33179,108.061,2000,0,100,12,3.048,382.647,-8.37,8,0.822,0,0.503,4,1,0,0.483339422,0.277561738,0
106,ARVJ0JK1187B98C9C0,0,0,,The Brooklyn Tabernacle Choir,Praise Him...Live!,Lead Me Lord,324.44036,216.195,1995,0.405115722,100,12,0,312.239,-11.829,7,0.558,1,0.718,5,1,0,0.559278494,0.432011947,0.405115722
107,AR4PCIG1187B98D07D,36.16778,-86.77836,Nashville. TN,Ellen McIlwaine,Spontanous Combustion,Spontanous Combustion,275.12118,132.428,0,0.242741879,100,50,0.34,272.933,-6.29,7,0.699,1,0.527,4,0.281,0,0.438887475,0.325148571,0.242741879
108,AR1RHCO1187B9AF0BF,37.77916,-122.42005,San Francisco. CA,Vince Guaraldi / Bola Sete,From All Sides,Choro,294.66077,168.307,0,0.386790177,100,39,0.864,282.564,-15.761,5,0.238,0,0.07,4,0,0,0.57810363,0.414892612,0.386790177
109,AR1X2H01187B98CCF2,0,0,Menilmontant. France,Maurice Chevalier,Maurice Chevalier  The Essential Collection Vol 1,Ma Louise,193.20118,140.956,0,0,100,42,0.497,190.003,-27.433,0,0.371,1,0.484,7,0.866,0,0.502453177,0.391585329,0
110,ARBQBZV1187B99D29E,0,0,,Carl Cox Vs Yousef,Dave Pearce Best of the Dance Years 1988 - 1992,I Want You (Forever),357.82485,130.016,1991,0.511254835,100,17,0.131,353.785,-5.701,1,0.485,1,0.427,5,1,0,0.541975108,0.384184258,0.511254835
111,AR9ODB41187FB459B2,0,0,SPRINGFIELD. Virginia,Organized Konfusion,The Equinox,Hate,198.3473,175.769,1997,0.460484845,100,45,0.201,182.184,-8.709,11,0.306,0,0.22,4,0.7,0,0.683719468,0.412671631,0.460484845
112,ARF3GX71187FB3EB66,0,0,Medicine Lodge. KS,Martina McBride,Timeless,I Can't Stop Loving You,261.95546,100.194,2005,0.488289876,100,11,0,253.452,-13.627,7,0.96,1,0.634,3,1,0,0.614870934,0.628246419,0.488289876
